iter	Passed	Remaining
0	6	1253
1	10	1087
2	15	1035
3	21	1044
4	26	1029
5	31	1015
6	37	1028
7	42	1025
8	47	1018
9	53	1023
10	59	1020
11	64	1015
12	70	1015
13	76	1018
14	84	1037
15	90	1046
16	97	1050
17	104	1052
18	110	1056
19	117	1058
20	123	1052
21	129	1048
22	139	1076
23	149	1093
24	157	1102
25	164	1103
26	173	1110
27	182	1122
28	190	1121
29	195	1106
30	199	1088
31	204	1074
32	209	1058
33	214	1046
34	218	1032
35	223	1018
36	229	1009
37	233	996
38	238	983
39	243	973
40	247	961
41	252	950
42	256	937
43	261	925
44	265	915
45	270	904
46	275	896
47	279	885
48	284	875
49	288	866
50	293	856
51	297	846
52	302	838
53	306	829
54	311	819
55	315	810
56	319	802
57	324	793
58	328	785
59	333	777
60	339	773
61	345	769
62	350	761
63	354	752
64	358	745
65	363	737
66	367	729
67	372	722
68	376	714
69	380	707
70	385	699
71	389	693
72	393	685
73	398	677
74	402	670
75	406	663
76	411	656
77	415	649
78	419	642
79	423	635
80	427	628
81	431	621
82	435	614
83	439	607
84	443	600
85	447	593
86	452	587
87	456	580
88	460	574
89	464	567
90	468	561
91	472	555
92	478	550
93	483	544
94	487	538
95	491	532
96	496	526
97	500	520
98	505	515
99	509	509
100	513	503
101	518	497
102	521	491
103	526	485
104	530	479
105	534	474
106	538	468
107	542	462
108	547	456
109	551	451
110	555	445
111	559	439
112	563	434
113	568	428
114	572	422
115	576	417
116	581	412
117	585	406
118	589	401
119	593	395
120	598	390
121	603	385
122	607	380
123	611	375
124	615	369
125	620	364
126	624	358
127	628	353
128	632	348
129	636	342
130	641	337
131	645	332
132	649	327
133	653	321
134	657	316
135	661	311
136	665	306
137	670	301
138	674	295
139	678	290
140	682	285
141	686	280
142	690	275
143	694	270
144	699	265
145	704	260
146	708	255
147	713	250
148	718	245
149	722	240
150	726	235
151	731	230
152	735	226
153	740	221
154	743	215
155	748	211
156	752	206
157	756	201
158	760	196
159	764	191
160	769	186
161	773	181
162	777	176
163	781	171
164	785	166
165	789	161
166	793	156
167	797	151
168	802	147
169	806	142
170	810	137
171	814	132
172	819	127
173	823	123
174	829	118
175	835	113
176	840	109
177	844	104
178	848	99
179	853	94
180	857	89
181	861	85
182	866	80
183	870	75
184	874	70
185	879	66
186	883	61
187	887	56
188	891	51
189	896	47
190	900	42
191	904	37
192	908	32
193	912	28
194	917	23
195	921	18
196	925	14
197	929	9
198	933	4
199	937	0
